x,y
-3.464650293502697515e-02,-6.610927472493595136e-01
-2.305121940312321663e-02,-6.600976873113764132e-01
-1.151868915007606652e-02,-6.598995032720075260e-01
-1.009852903142649668e-07,-6.610000133514327691e-01
1.152721405009051771e-02,-6.603994540019260118e-01
2.301611673451421300e-02,-6.590982568207509606e-01
3.454163067975320189e-02,-6.590955244639140620e-01
4.614380347608431493e-02,-6.598886035685826990e-01
5.774057895176337024e-02,-6.599790202216866408e-01
6.935452724190883933e-02,-6.598652400371131099e-01
8.086020020181124146e-02,-6.585543360129888502e-01
9.289794356729166869e-02,-6.610039693860187970e-01
1.045763366129451449e-01,-6.602696783197927743e-01
1.161705316101959290e-01,-6.588364342854063915e-01
1.272694949922841545e-01,-6.547453473828600545e-01
1.413798451089855468e-01,-6.651403980547545558e-01
1.524042357541222359e-01,-6.601357525891844436e-01
1.624504403473411018e-01,-6.515535748380784087e-01
1.759968465978887231e-01,-6.568295971673910882e-01
1.882601991002386399e-01,-6.565417385399109351e-01
1.992511986632809762e-01,-6.517216834182297802e-01
2.110585099965278655e-01,-6.495716617804845328e-01
2.246419191126177439e-01,-6.524078516443710951e-01
2.373618744121560042e-01,-6.521467231518898178e-01
2.496031709867158610e-01,-6.502388112709172052e-01
2.624118156625154241e-01,-6.494923440918105584e-01
2.750746055275947732e-01,-6.480354589239267771e-01
2.887829241977704076e-01,-6.486173578162146569e-01
3.011153936249850727e-01,-6.457443269184974799e-01
3.057637657048186686e-01,-6.269088899339776422e-01
3.227871232650165734e-01,-6.335056623533846798e-01
3.237005277977668682e-01,-6.087923971234299181e-01
3.587590141055523874e-01,-6.472186523211395093e-01
3.732498978869538964e-01,-6.464880404993976759e-01
3.780378231267861877e-01,-6.291608353082456251e-01
4.128069856084542466e-01,-6.606295241031512333e-01
4.201888999058802643e-01,-6.470344080125963737e-01
4.375683513745496911e-01,-6.487219995116310090e-01
4.321897295161355457e-01,-6.172311274601879338e-01
4.593540545445379264e-01,-6.322468459804507779e-01
4.904791293666523888e-01,-6.508880239868511941e-01
4.796002093045253489e-01,-6.138604952128686731e-01
5.075467968979457956e-01,-6.267683203678646731e-01
5.190508893815906077e-01,-6.185809825181339816e-01
5.366561892755529195e-01,-6.173525450958797789e-01
5.684263389698168689e-01,-6.313016299484084382e-01
6.011814441183062074e-01,-6.446883986359571717e-01
1.193422815826624683e+00,-1.235825942372289710e+00
9.425731322057830930e-01,-9.425734682129717212e-01
9.139210187344548597e-01,-8.825635846582193800e-01
8.831094330413451488e-01,-8.235131651715865697e-01
8.579605676801688174e-01,-7.725114445250598205e-01
8.924439421800374195e-01,-7.757899659981127849e-01
9.004850417825719378e-01,-7.555969442911177891e-01
9.197521501247204467e-01,-7.448008822750548097e-01
8.892699968331523319e-01,-6.947741275359053947e-01
9.144375178313067787e-01,-6.890783571584840894e-01
8.866824722394628377e-01,-6.442127732841281817e-01
9.256416869488302002e-01,-6.481415405650251538e-01
8.986766097186160707e-01,-6.061652683357576787e-01
8.931840955264361837e-01,-5.800407687207883578e-01
9.137717055044786152e-01,-5.709881692223705008e-01
8.888823407180759251e-01,-5.340946187039192772e-01
8.859438942124816529e-01,-5.115001663832167145e-01
8.811792050734484905e-01,-4.884458250721030459e-01
9.191483599343138744e-01,-4.887200735595074730e-01
9.137271555141852630e-01,-4.655674564948592553e-01
9.095794592979038473e-01,-4.436317569838433839e-01
8.890878120931150486e-01,-4.145886607293742809e-01
8.555352604246944104e-01,-3.809090341330623186e-01
8.993331672733316795e-01,-3.817444832805820254e-01
8.353926096341991459e-01,-3.375207090136395083e-01
8.953035550743008164e-01,-3.436750322746655595e-01
8.757934997820983059e-01,-3.187629560948533336e-01
8.665676908136026313e-01,-2.983833717610878677e-01
8.583284837317726179e-01,-2.788880138390538721e-01
8.955793631303600177e-01,-2.738062790535507607e-01
8.973377925773086128e-01,-2.573076605156226493e-01
7.915761437607434781e-01,-2.121023540900978388e-01
8.815135817260298934e-01,-2.197862041224178387e-01
8.252914102502481031e-01,-1.905337057156277769e-01
7.942558540000094203e-01,-1.688244568771551379e-01
9.084959580450983063e-01,-1.765939113616692424e-01
8.715548215888497818e-01,-1.536788081851001853e-01
8.637334624737200706e-01,-1.368021168924755393e-01
7.951852104974171942e-01,-1.117561547358901647e-01
8.148803506345791980e-01,-1.000548912600865425e-01
8.796546244903493683e-01,-9.245560475244014864e-02
8.781456166355111614e-01,-7.682796412638338845e-02
6.469202432323429841e-01,-4.523720114293293404e-02
8.882809836647408419e-01,-4.655301366284332609e-02
8.859599628382998082e-01,-3.093858332928413335e-02
1.393787735503577485e+00,-2.432893863438489665e-02
