x,y
-7.815627379652958506e-01,-7.547461714188802295e-01
-8.149406083791815858e-01,-8.149404008728735604e-01
-7.217501663325627259e-01,-7.473939849513022704e-01
-6.912054162200587104e-01,-7.412268696745364371e-01
-6.427000407709932972e-01,-7.137905233729152643e-01
-6.790212525310385105e-01,-7.811243923221909968e-01
-6.325030851893808093e-01,-7.537876248743143881e-01
-6.302644799704361089e-01,-7.783116061706275568e-01
-5.494779487785930172e-01,-7.032995123101314361e-01
-4.980020101788221187e-01,-6.608708074827390755e-01
-5.340029732397246764e-01,-7.349918331934913729e-01
-5.056077279423529802e-01,-7.220824644962225980e-01
-4.582586580542830634e-01,-6.793962042136959534e-01
-5.076037077896207173e-01,-7.816409356457316715e-01
-4.816967357217593060e-01,-7.708756876954799830e-01
-4.395851002936019269e-01,-7.315922390588642799e-01
-4.402501128516647100e-01,-7.625353243508106171e-01
-4.200876489997811825e-01,-7.578579364662657580e-01
-4.011635516988511507e-01,-7.544786593762150551e-01
-3.890699602391995970e-01,-7.635925317846443683e-01
-3.684510519211395829e-01,-7.554363424728955945e-01
-3.412643498266906272e-01,-7.318434950440472209e-01
-3.131873053253964034e-01,-7.034299413657683075e-01
-2.897272349953530224e-01,-6.825543267771636557e-01
-2.981869533555748242e-01,-7.380383099280947157e-01
-2.958328550336427054e-01,-7.706706110763790196e-01
-2.655787399450404984e-01,-7.296712699253121714e-01
-2.980577829388848521e-01,-8.656222560100388375e-01
-2.881584751868095373e-01,-8.868601648913012614e-01
-2.989502192143680959e-01,-9.778216066554480390e-01
-2.406315393354528098e-01,-8.391814507215741292e-01
-1.899732730124122637e-01,-7.089894977650657015e-01
-1.751515486366356233e-01,-7.024940582439818115e-01
-1.718627134507534626e-01,-7.444187031096966001e-01
-1.514637725723699535e-01,-7.125805134184324263e-01
-1.453965573651548882e-01,-7.479998578412799803e-01
-1.273710452528524217e-01,-7.223564718526143125e-01
-1.085656208638733217e-01,-6.854556979912278525e-01
-1.021531593483893247e-01,-7.268567152027634037e-01
-8.408994857641460818e-02,-6.848568297522040771e-01
-6.658472204784346427e-02,-6.335104023104219939e-01
-5.795866493799289171e-02,-6.624694275384588327e-01
-4.984110431057083013e-02,-7.127594569386463963e-01
-3.666144363293446368e-02,-6.995399949852202370e-01
-2.448210320094223319e-02,-7.010726600116786722e-01
-1.178047623953357506e-02,-6.748971447610040419e-01
-1.072491294761670766e-07,-7.020000219345010617e-01
1.231256469144303804e-02,-7.053925574955836053e-01
2.289396956692776181e-02,-6.556004041568783691e-01
3.726309165903009951e-02,-7.110242468822212114e-01
4.624843868648007700e-02,-6.613849601250584298e-01
6.318780318514188865e-02,-7.222411897000408088e-01
7.097472319254810591e-02,-6.752803979567493231e-01
8.817235902650188972e-02,-7.181071677843329226e-01
1.011091494569755778e-01,-7.194298018437130793e-01
1.162306964462741510e-01,-7.338524855532861935e-01
1.246792889762014245e-01,-7.070920399499218689e-01
1.349018526584805366e-01,-6.940104569977519899e-01
1.442906062978986659e-01,-6.788344635302369090e-01
1.630894066420619515e-01,-7.064183463160018661e-01
1.698290665581521641e-01,-6.811476484199576742e-01
1.888083786579419776e-01,-7.046429165805971895e-01
2.036958807373690783e-01,-7.103723905100296498e-01
2.163549493611891250e-01,-7.076655636678227390e-01
2.238827002848391423e-01,-6.890404829936379594e-01
2.449899191025482204e-01,-7.115027659467861865e-01
2.640394366628392997e-01,-7.254427604643279848e-01
2.806019813950714759e-01,-7.309935130283498061e-01
2.757103405392434259e-01,-6.824073638417506027e-01
3.075052782023045550e-01,-7.244373710875667838e-01
3.123736278811456435e-01,-7.016029695335374017e-01
2.692077214489615455e-01,-5.773180732992512221e-01
2.899824039868789116e-01,-5.945522896238177868e-01
1.675016689715322915e-01,-3.021811304827614064e-01
3.659998890513372349e-01,-6.339306519179794819e-01
4.073950061958661606e-01,-6.780194115990229031e-01
4.212856771144559143e-01,-6.741982720408136176e-01
4.381619791610601999e-01,-6.747105334377174746e-01
4.557420987707702098e-01,-6.756656980502937504e-01
4.577138708137570289e-01,-6.536833923675979818e-01
4.593540545445379264e-01,-6.322468459804507779e-01
5.169589662021236709e-01,-6.860279670372108063e-01
4.965308799529547512e-01,-6.355307732212998051e-01
5.418447406018966905e-01,-6.691227686646181727e-01
5.595464770320340842e-01,-6.668417617768025440e-01
5.763477302832678006e-01,-6.630124561330905664e-01
5.935187078584491793e-01,-6.591695387567323428e-01
